X_Value,Y_Value
1.050,0.563
1.066,0.562
1.066,0.572
1.066,0.559
1.066,0.565
1.066,0.574
1.082,0.558
1.082,0.557
1.082,0.574
1.097,0.574
1.097,0.553
1.097,0.555
1.113,0.572
1.113,0.574
1.113,0.550
1.113,0.551
1.129,0.548
1.129,0.570
1.129,0.549
1.129,0.571
1.129,0.550
1.144,0.544
1.144,0.567
1.144,0.546
1.144,0.568
1.160,0.566
1.160,0.567
1.160,0.541
1.160,0.542
1.176,0.565
1.176,0.538
1.176,0.540
1.176,0.563
1.191,0.537
1.191,0.561
1.191,0.536
1.191,0.562
1.207,0.559
1.207,0.533
1.207,0.535
1.207,0.558
1.223,0.555
1.223,0.529
1.223,0.557
1.223,0.532
1.238,0.528
1.238,0.554
1.238,0.555
1.238,0.553
1.238,0.527
1.254,0.524
1.254,0.525
1.254,0.550
1.254,0.551
1.270,0.549
1.270,0.523
1.270,0.524
1.270,0.550
1.285,0.520
1.285,0.522
1.285,0.546
1.285,0.548
1.301,0.518
1.301,0.544
1.301,0.545
1.301,0.519
1.317,0.541
1.317,0.515
1.317,0.542
1.317,0.516
1.332,0.514
1.332,0.511
1.348,0.540
1.348,0.538
1.348,0.508
1.348,0.510
1.364,0.508
1.364,0.536
1.364,0.506
1.364,0.507
1.364,0.537
1.379,0.505
1.379,0.533
1.379,0.503
1.379,0.535
1.395,0.531
1.395,0.532
1.395,0.502
1.395,0.503
1.411,0.499
1.411,0.529
1.411,0.501
1.411,0.528
1.426,0.497
1.426,0.525
1.426,0.527
1.426,0.498
1.442,0.525
1.442,0.495
1.442,0.497
1.442,0.524
1.458,0.522
1.458,0.523
1.458,0.493
1.458,0.494
1.473,0.520
1.473,0.490
1.473,0.522
1.473,0.492
1.489,0.519
1.489,0.518
1.489,0.488
1.489,0.489
1.505,0.515
1.505,0.516
1.505,0.486
1.505,0.488
1.520,0.514
1.520,0.484
1.520,0.515
1.520,0.485
1.536,0.481
1.536,0.511
1.536,0.512
1.536,0.482
1.552,0.480
1.552,0.481
1.552,0.511
1.552,0.510
1.567,0.507
1.567,0.477
1.567,0.478
1.567,0.508
1.583,0.506
1.583,0.507
1.599,0.476
1.599,0.503
1.599,0.475
1.599,0.505
1.614,0.502
1.614,0.472
1.614,0.503
1.614,0.473
1.630,0.499
1.630,0.501
1.630,0.471
1.630,0.472
1.646,0.468
1.646,0.498
1.646,0.499
1.646,0.469
1.661,0.495
1.661,0.497
1.661,0.467
1.661,0.468
1.677,0.464
1.677,0.465
1.693,0.462
1.693,0.493
1.693,0.463
1.693,0.494
1.708,0.490
1.708,0.492
1.740,0.489
1.740,0.459
1.740,0.458
1.740,0.488
1.755,0.455
1.755,0.486
1.755,0.456
1.755,0.485
1.771,0.485
1.771,0.484
1.787,0.454
1.787,0.481
1.787,0.452
1.787,0.482
1.803,0.450
1.803,0.451
1.818,0.478
1.818,0.480
1.834,0.447
1.834,0.477
1.834,0.449
1.834,0.476
1.850,0.446
1.850,0.445
1.865,0.445
1.865,0.443
1.881,0.441
1.881,0.442
1.912,0.471
1.912,0.469
1.928,0.467
1.928,0.468
1.975,0.433
1.975,0.434
1.991,0.432
1.991,0.430
2.069,0.424
2.069,0.425
2.085,0.454
2.085,0.455
2.116,0.419
2.116,0.420
2.116,0.451
2.132,0.451
2.304,0.435
2.320,0.435
2.351,0.399
2.367,0.432
2.367,0.399
2.382,0.432
2.429,0.426
2.445,0.426
2.445,0.392
2.461,0.392
2.461,0.425
2.476,0.425
2.508,0.421
2.524,0.386
2.524,0.421
2.539,0.386
2.539,0.420
2.555,0.385
2.555,0.420
2.571,0.385
2.586,0.416
2.602,0.381
2.602,0.416
2.618,0.381
2.618,0.415
2.633,0.413
2.633,0.379
2.633,0.415
2.649,0.379
2.649,0.413
2.665,0.412
2.680,0.412
2.696,0.374
2.712,0.408
2.712,0.374
2.727,0.373
2.727,0.408
2.743,0.373
2.743,0.407
2.759,0.370
2.759,0.405
2.759,0.407
2.774,0.370
2.774,0.405
2.790,0.369
2.790,0.404
2.806,0.369
2.806,0.403
2.806,0.404
2.806,0.368
2.821,0.368
2.821,0.403
2.837,0.366
2.837,0.402
2.853,0.400
2.853,0.402
2.853,0.366
2.868,0.400
2.884,0.362
2.884,0.399
2.900,0.399
2.900,0.362
2.915,0.396
2.915,0.361
2.931,0.361
2.931,0.396
2.947,0.360
2.947,0.395
2.962,0.360
2.962,0.395
2.962,0.359
2.978,0.359
2.978,0.394
2.994,0.357
2.994,0.392
2.994,0.394
3.009,0.357
3.009,0.392
3.025,0.355
3.025,0.391
3.041,0.391
3.041,0.355
3.056,0.390
3.056,0.353
3.072,0.390
3.072,0.353
3.088,0.389
3.088,0.352
3.103,0.352
3.103,0.389
3.119,0.387
3.119,0.349
3.135,0.387
3.135,0.349
3.150,0.348
3.150,0.385
3.166,0.348
3.166,0.385
3.182,0.347
3.182,0.383
3.197,0.346
3.197,0.347
3.213,0.383
3.213,0.346
3.229,0.344
3.229,0.382
3.245,0.382
3.245,0.344
3.245,0.381
3.260,0.343
3.260,0.381
3.276,0.343
3.276,0.379
3.292,0.342
3.292,0.379
3.307,0.342
3.307,0.378
3.323,0.340
3.323,0.378
3.339,0.377
3.339,0.339
3.339,0.340
3.354,0.377
3.354,0.339
3.370,0.375
3.370,0.338
3.386,0.375
3.386,0.336
3.386,0.338
3.401,0.374
3.401,0.336
3.417,0.374
3.417,0.335
3.433,0.373
3.433,0.335
3.448,0.372
3.448,0.373
3.448,0.334
3.464,0.334
3.464,0.372
3.480,0.372
3.480,0.332
3.495,0.370
3.495,0.331
3.495,0.332
3.511,0.370
3.511,0.331
3.527,0.330
3.527,0.369
3.542,0.330
3.542,0.369
3.558,0.368
3.558,0.329
3.574,0.368
3.574,0.329
3.589,0.327
3.589,0.366
3.605,0.327
3.605,0.366
3.621,0.365
3.621,0.326
3.636,0.365
3.636,0.326
3.652,0.325
3.652,0.364
3.668,0.325
3.683,0.323
3.699,0.364
3.699,0.323
3.715,0.362
3.715,0.322
3.730,0.362
3.746,0.322
3.746,0.361
3.762,0.360
3.762,0.321
3.762,0.361
3.777,0.360
3.777,0.321
3.793,0.319
3.793,0.360
3.809,0.319
3.809,0.359
3.824,0.318
3.840,0.318
3.840,0.359
3.856,0.357
3.856,0.317
3.871,0.317
3.887,0.357
3.887,0.316
